cr,x,y,method,r,n,rss,abs_r,p_two_sided_abs,abs_percentile,null_abs_p95
all,pfss_equator_abs_mean,bmag_mean,spearman,0.2853122209538846,214,2.0,0.2853122209538846,0.0024987506246876,99.8,0.1920730925221773
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2700350719944878,214,2.0,0.2700350719944878,0.0079960019990005,99.25,0.2100866039797337
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2699676432863646,214,2.0,0.2699676432863646,0.0189905047476261,98.15,0.2314195015780402
all,pfss_equator_abs_mean,density_mean,spearman,0.2691822259038198,214,2.0,0.2691822259038198,0.0219890054972513,97.85,0.2368306757657435
all,pfss_midlat_abs_mean,density_mean,spearman,0.2641680051697412,214,2.0,0.2641680051697412,0.0354822588705647,96.5,0.2501345237668976
all,pfss_equator_abs_mean,bmag_mean,pearson,0.2565772464994227,214,2.0,0.2565772464994227,0.0064967516241879,99.4,0.1751905151663154
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.24386309161205,214,2.0,0.24386309161205,0.0499750124937531,95.05,0.2435959727064844
all,pfss_global_abs_mean,bmag_mean,spearman,0.234279208830672,214,2.0,0.234279208830672,0.0264867566216891,97.4,0.2082815151273137
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.2331989788996303,214,2.0,0.2331989788996303,0.0124937531234382,98.8,0.1854725133428995
all,pfss_global_abs_mean,density_mean,spearman,0.2029198193043919,214,2.0,0.2029198193043919,0.1249375312343828,87.55,0.2561370174080517
all,pfss_equator_abs_mean,density_mean,pearson,0.2024693192344349,214,2.0,0.2024693192344349,0.0594702648675662,94.1,0.2068522528073631
all,pfss_global_abs_mean,bmag_mean,pearson,0.1893141515549243,214,2.0,0.1893141515549243,0.0449775112443778,95.55,0.1848319900388571
all,pfss_midlat_abs_mean,density_mean,pearson,0.1890445248345269,214,2.0,0.1890445248345269,0.0794602698650674,92.1,0.2105420467532031
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.1712004358703993,214,2.0,0.1712004358703993,0.0684657671164417,93.2,0.1814284111034144
all,pfss_global_abs_mean,ma_mean,spearman,-0.170033458739833,214,2.0,0.170033458739833,0.0659670164917541,93.45,0.1789533200069794
all,pfss_global_abs_mean,pdyn_mean,spearman,0.1571752619608107,214,2.0,0.1571752619608107,0.2263868065967016,77.4,0.241271003547912
all,pfss_global_abs_mean,speed_mean,spearman,-0.1428728423621516,214,2.0,0.1428728423621516,0.1634182908545727,83.7,0.1938824670333444
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.1419357059994652,214,2.0,0.1419357059994652,0.1219390304847576,87.85,0.1826380557072209
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.1390432575894401,214,2.0,0.1390432575894401,0.1284357821089455,87.2,0.1772844237780519
all,pfss_global_abs_mean,density_mean,pearson,0.1381224361009655,214,2.0,0.1381224361009655,0.2263868065967016,77.4,0.2266528554541415
all,pfss_equator_abs_mean,ma_mean,spearman,-0.1376204193209682,214,2.0,0.1376204193209682,0.1054472763618191,89.5,0.1617652010738633
all,pfss_global_abs_mean,ma_mean,pearson,-0.12942481847036,214,2.0,0.12942481847036,0.144927536231884,85.55,0.169565173788036
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.093513986887302,214,2.0,0.093513986887302,0.2938530734632684,70.65,0.1673372839762203
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.0887694618651412,214,2.0,0.0887694618651412,0.3568215892053973,64.35,0.177750023035424
all,pfss_equator_abs_mean,speed_mean,pearson,0.0880595834789278,214,2.0,0.0880595834789278,0.3323338330834582,66.8,0.1815314939024552
all,pfss_equator_abs_mean,ma_mean,pearson,-0.0878624860075996,214,2.0,0.0878624860075996,0.3213393303348326,67.9,0.1706747745124739
all,pfss_global_abs_mean,pdyn_mean,pearson,0.0595532417420291,214,2.0,0.0595532417420291,0.5167416291854073,48.35,0.1780557065395927
all,pfss_global_abs_mean,speed_mean,pearson,-0.0445749841056565,214,2.0,0.0445749841056565,0.6381809095452274,36.2,0.1722480250652382
all,pfss_midlat_abs_mean,speed_mean,pearson,0.044331216352318,214,2.0,0.044331216352318,0.5942028985507246,40.6,0.1735546734981454
all,pfss_equator_abs_mean,speed_mean,spearman,-0.0278341290883284,214,2.0,0.0278341290883284,0.7691154422788605,23.1,0.18502162267898
all,pfss_equator_abs_mean,bmag_mean,spearman,0.2761800944008303,214,2.5,0.2761800944008303,0.0029985007496251,99.75,0.1944591330296116
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2495918675339732,214,2.5,0.2495918675339732,0.015992003998001,98.45,0.2014513383347065
all,pfss_equator_abs_mean,bmag_mean,pearson,0.2383208139679086,214,2.5,0.2383208139679086,0.0069965017491254,99.35,0.1686482095763581
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.2268931126423833,214,2.5,0.2268931126423833,0.041479260369815,95.9,0.2162418457714335
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.2236147372298038,214,2.5,0.2236147372298038,0.009495252373813,99.1,0.1715666286640322
all,pfss_equator_abs_mean,density_mean,spearman,0.2229221449103226,214,2.5,0.2229221449103226,0.0504747626186906,95.0,0.2224732529058287
all,pfss_midlat_abs_mean,density_mean,spearman,0.2146544994811293,214,2.5,0.2146544994811293,0.0839580209895052,91.65,0.2393745389091777
all,pfss_global_abs_mean,bmag_mean,spearman,0.2102850299797233,214,2.5,0.2102850299797233,0.0369815092453773,96.35,0.1982389615971395
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.1975939094685478,214,2.5,0.1975939094685478,0.1019490254872563,89.85,0.2320325954859782
all,pfss_global_abs_mean,bmag_mean,pearson,0.1905532203623366,214,2.5,0.1905532203623366,0.0309845077461269,96.95,0.1766216706280553
all,pfss_global_abs_mean,ma_mean,spearman,-0.1891254503766786,214,2.5,0.1891254503766786,0.0394802598700649,96.1,0.1798744914608275
all,pfss_equator_abs_mean,density_mean,pearson,0.1868140258926877,214,2.5,0.1868140258926877,0.0824587706146926,91.8,0.2059263338112087
all,pfss_midlat_abs_mean,density_mean,pearson,0.180700601267501,214,2.5,0.180700601267501,0.0899550224887556,91.05,0.2091063932848589
all,pfss_equator_abs_mean,ma_mean,spearman,-0.1651453603166488,214,2.5,0.1651453603166488,0.0419790104947526,95.85,0.1569215510406494
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.158078862142436,214,2.5,0.158078862142436,0.0619690154922538,93.85,0.165871381527001
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.1573687287821692,214,2.5,0.1573687287821692,0.0769615192403798,92.35,0.1779683534810252
all,pfss_global_abs_mean,density_mean,spearman,0.1555001821404409,214,2.5,0.1555001821404409,0.224887556221889,77.55,0.2374282994205179
all,pfss_global_abs_mean,ma_mean,pearson,-0.147545247613123,214,2.5,0.147545247613123,0.1009495252373813,89.95,0.1697440421500969
all,pfss_global_abs_mean,density_mean,pearson,0.1374189717418519,214,2.5,0.1374189717418519,0.2378810594702648,76.25,0.2182214624161404
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.1360282547759635,214,2.5,0.1360282547759635,0.0904547726136931,91.0,0.1709987922420546
all,pfss_global_abs_mean,speed_mean,spearman,-0.1286451069394873,214,2.5,0.1286451069394873,0.2438780609695152,75.65,0.2125735755996955
all,pfss_global_abs_mean,pdyn_mean,spearman,0.1087497818906483,214,2.5,0.1087497818906483,0.3558220889555222,64.45,0.2275568997554112
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.1069199389628896,214,2.5,0.1069199389628896,0.2338830584707646,76.65,0.1685720010396143
all,pfss_equator_abs_mean,ma_mean,pearson,-0.1033704522958051,214,2.5,0.1033704522958051,0.2478760619690155,75.25,0.1671965382390946
all,pfss_equator_abs_mean,speed_mean,pearson,0.0847111653461764,214,2.5,0.0847111653461764,0.3543228385807096,64.6,0.1859962780248187
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.0657665147910496,214,2.5,0.0657665147910496,0.5252373813093453,47.5,0.1917018600989489
all,pfss_global_abs_mean,pdyn_mean,pearson,0.0601929331263127,214,2.5,0.0601929331263127,0.4582708645677161,54.2,0.1520252166962007
all,pfss_midlat_abs_mean,speed_mean,pearson,0.0523850720204474,214,2.5,0.0523850720204474,0.5402298850574713,46.0,0.1759180667907129
all,pfss_global_abs_mean,speed_mean,pearson,-0.0335238692611167,214,2.5,0.0335238692611167,0.6966516741629185,30.35,0.1694180917821755
all,pfss_equator_abs_mean,speed_mean,spearman,-0.0133577901667391,214,2.5,0.0133577901667391,0.8905547226386806,10.95,0.1947372706713055
all,pfss_equator_abs_mean,bmag_mean,spearman,0.209600549054119,214,3.0,0.209600549054119,0.024487756121939,97.6,0.1872032372641789
all,pfss_equator_abs_mean,bmag_mean,pearson,0.2015250870141506,214,3.0,0.2015250870141506,0.0134932533733133,98.7,0.1574438549878133
all,pfss_midlat_abs_mean,bmag_mean,spearman,0.2005529112020784,214,3.0,0.2005529112020784,0.0384807596201899,96.2,0.191027728518221
all,pfss_midlat_abs_mean,bmag_mean,pearson,0.1911202068610119,214,3.0,0.1911202068610119,0.0144927536231884,98.6,0.1593985744647369
all,pfss_equator_abs_mean,density_mean,spearman,0.1879989347080089,214,3.0,0.1879989347080089,0.1154422788605697,88.5,0.2289019227295964
all,pfss_midlat_abs_mean,density_mean,spearman,0.1857140670582941,214,3.0,0.1857140670582941,0.1334332833583208,86.7,0.2382384111231177
all,pfss_equator_abs_mean,pdyn_mean,spearman,0.1787137517563542,214,3.0,0.1787137517563542,0.1194402798600699,88.1,0.2089046777950904
all,pfss_global_abs_mean,ma_mean,spearman,-0.1724970995282715,214,3.0,0.1724970995282715,0.0599700149925037,94.05,0.1769136531862332
all,pfss_equator_abs_mean,density_mean,pearson,0.170685834767034,214,3.0,0.170685834767034,0.1244377811094452,87.6,0.2085380776667532
all,pfss_global_abs_mean,bmag_mean,spearman,0.1688145469951641,214,3.0,0.1688145469951641,0.0814592703648176,91.9,0.1912293993741191
all,pfss_global_abs_mean,bmag_mean,pearson,0.1659013405941499,214,3.0,0.1659013405941499,0.0434782608695652,95.7,0.1626491004781471
all,pfss_midlat_abs_mean,density_mean,pearson,0.1645623029686613,214,3.0,0.1645623029686613,0.1384307846076961,86.2,0.2121410563189067
all,pfss_midlat_abs_mean,pdyn_mean,spearman,0.1598556345681129,214,3.0,0.1598556345681129,0.1854072963518241,81.5,0.2281679120583093
all,pfss_equator_abs_mean,pdyn_mean,pearson,0.1369972597464794,214,3.0,0.1369972597464794,0.089455272363818,91.1,0.1635261857843646
all,pfss_midlat_abs_mean,ma_mean,spearman,-0.1367143088918208,214,3.0,0.1367143088918208,0.1114442778610694,88.9,0.1634041589244224
all,pfss_equator_abs_mean,ma_mean,spearman,-0.1356147316413149,214,3.0,0.1356147316413149,0.0944527736131934,90.6,0.1565272093329374
all,pfss_global_abs_mean,ma_mean,pearson,-0.1290319371379134,214,3.0,0.1290319371379134,0.1644177911044477,83.6,0.1709935071838849
all,pfss_global_abs_mean,density_mean,spearman,0.1284185005709107,214,3.0,0.1284185005709107,0.3138430784607696,68.65,0.2379824961505612
all,pfss_global_abs_mean,density_mean,pearson,0.1275542307882261,214,3.0,0.1275542307882261,0.2883558220889555,71.2,0.2176602800781419
all,pfss_global_abs_mean,speed_mean,spearman,-0.1219601268188937,214,3.0,0.1219601268188937,0.2843578210894553,71.6,0.2219326373624281
all,pfss_midlat_abs_mean,pdyn_mean,pearson,0.1185250244487423,214,3.0,0.1185250244487423,0.127936031984008,87.25,0.1622865114318341
all,pfss_equator_abs_mean,ma_mean,pearson,-0.0939117509301263,214,3.0,0.0939117509301263,0.3178410794602698,68.25,0.1635188077217475
all,pfss_midlat_abs_mean,ma_mean,pearson,-0.0929180733923881,214,3.0,0.0929180733923881,0.3348325837081459,66.55,0.1641320139625531
all,pfss_global_abs_mean,pdyn_mean,spearman,0.0761898056454353,214,3.0,0.0761898056454353,0.5157421289355323,48.45,0.2229943888499437
all,pfss_midlat_abs_mean,speed_mean,spearman,-0.0729156303274522,214,3.0,0.0729156303274522,0.495752123938031,50.45,0.2066383670161678
all,pfss_equator_abs_mean,speed_mean,pearson,0.0631652022846627,214,3.0,0.0631652022846627,0.495752123938031,50.45,0.1886074656988735
all,pfss_global_abs_mean,pdyn_mean,pearson,0.053207545067399,214,3.0,0.053207545067399,0.4672663668165917,53.3,0.1388760567221214
all,pfss_midlat_abs_mean,speed_mean,pearson,0.0386018037256113,214,3.0,0.0386018037256113,0.6736631684157921,32.65,0.1805123238343216
all,pfss_equator_abs_mean,speed_mean,spearman,-0.0377419829816546,214,3.0,0.0377419829816546,0.728135932033983,27.2,0.2026357123550655
all,pfss_global_abs_mean,speed_mean,pearson,-0.0330718857659966,214,3.0,0.0330718857659966,0.7011494252873564,29.9,0.170047068500762
